['Frank Darabont']
['Francis Ford Coppola']
['Christopher Nolan']
['Francis Ford Coppola']
['Sidney Lumet']
['Steven Spielberg']
['Peter Jackson']
['Quentin Tarantino']
['Peter Jackson']
['Sergio Leone']
['Robert Zemeckis']
['David Fincher']
['Peter Jackson']
['Christopher Nolan']
['Irvin Kershner']
"['Lana Wachowski', 'Lilly Wachowski']"
['Martin Scorsese']
['Milos Forman']
['David Fincher']
['Akira Kurosawa']
['Frank Capra']
['Jonathan Demme']
['Steven Spielberg']
"['Fernando Meirelles', 'Kátia Lund']"
['Christopher Nolan']
['Roberto Benigni']
['Frank Darabont']
['George Lucas']
['James Cameron']
['Robert Zemeckis']
['Hayao Miyazaki']
['Roman Polanski']
['Alfred Hitchcock']
['Bong Joon Ho']
['Luc Besson']
"['Roger Allers', 'Rob Minkoff']"
['Ridley Scott']
['Tony Kaye']
['Martin Scorsese']
['Christopher Nolan']
['Damien Chazelle']
['Bryan Singer']
['Michael Curtiz']
['Isao Takahata']
['Masaki Kobayashi']
"['Olivier Nakache', 'Éric Toledano']"
['Charles Chaplin']
['Sergio Leone']
['Giuseppe Tornatore']
['Alfred Hitchcock']
['Ridley Scott']
['Charles Chaplin']
['Francis Ford Coppola']
['Christopher Nolan']
['Quentin Tarantino']
['Steven Spielberg']
['Andrew Stanton']
['Florian Henckel von Donnersmarck']
['Billy Wilder']
['Stanley Kubrick']
['Stanley Kubrick']
['Charles Chaplin']
"['Anthony Russo', 'Joe Russo']"
['Billy Wilder']
['James Cameron']
"['Bob Persichetti', 'Peter Ramsey', 'Rodney Rothman']"
['Sam Mendes']
['Stanley Kubrick']
['Christopher Nolan']
['Park Chan-wook']
['Quentin Tarantino']
['Milos Forman']
"['Lee Unkrich', 'Adrian Molina']"
['John Lasseter']
['Todd Phillips']
['Mel Gibson']
['Wolfgang Petersen']
"['Anthony Russo', 'Joe Russo']"
['Hayao Miyazaki']
['Sergio Leone']
['Gus Van Sant']
['Makoto Shinkai']
"['Stanley Donen', 'Gene Kelly']"
['Rajkumar Hirani']
['Darren Aronofsky']
['Akira Kurosawa']
['Lee Unkrich']
['Nadine Labaki']
['Richard Marquand']
['Michel Gondry']
['Stanley Kubrick']
['Elem Klimov']
['Quentin Tarantino']
['Thomas Vinterberg']
['Orson Welles']
['Fritz Lang']
['David Lean']
['Alfred Hitchcock']
['Akira Kurosawa']
['Alfred Hitchcock']
['Billy Wilder']
['Jean-Pierre Jeunet']
['Stanley Kubrick']
['Billy Wilder']
['Stanley Kubrick']
['Brian De Palma']
['Thomas Kail']
['Denis Villeneuve']
['Michael Mann']
['Robert Mulligan']
"['Pete Docter', 'Bob Peterson']"
['George Roy Hill']
['Asghar Farhadi']
['Fritz Lang']
['Martin Scorsese']
['Curtis Hanson']
['John McTiernan']
['Guy Ritchie']
['Steven Spielberg']
['Joseph Kosinski']
['Vittorio De Sica']
"['Aamir Khan', 'Amole Gupte']"
['Sam Mendes']
['Oliver Hirschbiegel']
['Nitesh Tiwari']
['Sergio Leone']
['Christopher Nolan']
['Charles Chaplin']
['Billy Wilder']
['Florian Zeller']
['Joseph L. Mankiewicz']
['Martin Scorsese']
['Peter Farrelly']
['Stanley Kramer']
['Akira Kurosawa']
['Martin Scorsese']
['Peter Weir']
['Paul Thomas Anderson']
['Guillermo del Toro']
['Clint Eastwood']
['M. Night Shyamalan']
['Martin Scorsese']
['Ron Howard']
['Steven Spielberg']
['Akira Kurosawa']
['John Huston']
"['Terry Gilliam', 'Terry Jones']"
"['Ethan Coen', 'Joel Coen']"
['John Sturges']
['Quentin Tarantino']
['Akira Kurosawa']
['Jon Watts']
['John Carpenter']
"['Andrew Stanton', 'Lee Unkrich']"
['David Lynch']
['Roman Polanski']
['Martin Scorsese']
['James McTeigue']
"['Victor Fleming', 'George Cukor', 'Sam Wood']"
['Guy Ritchie']
['Alfred Hitchcock']
"['Pete Docter', 'Ronnie Del Carmen']"
['Juan José Campanella']
['Hayao Miyazaki']
['Martin McDonagh']
['Danny Boyle']
['David Lean']
['Denis Villeneuve']
"[""Gavin O'Connor""]"
"['Joel Coen', 'Ethan Coen']"
['Clint Eastwood']
['Hayao Miyazaki']
['Steven Spielberg']
['Clint Eastwood']
['Majid Majidi']
['Ridley Scott']
['Charles Chaplin']
"['Sergio Pablos', 'Carlos Martínez López']"
['Richard Linklater']
['David Yates']
['Steve McQueen']
['Elia Kazan']
['William Wyler']
['Wes Anderson']
['David Fincher']
['Ingmar Bergman']
"['Clyde Bruckman', 'Buster Keaton']"
['Stanley Kubrick']
['Jim Sheridan']
['Carol Reed']
['Michael Cimino']
['Mel Gibson']
['Henri-Georges Clouzot']
['Bong Joon Ho']
['Buster Keaton']
['Damián Szifron']
['Frank Capra']
['George Miller']
['Adam Elliot']
['Ingmar Bergman']
"['Dean DeBlois', 'Chris Sanders']"
"['Pete Docter', 'David Silverman', 'Lee Unkrich']"
['Steven Spielberg']
['Peter Weir']
['Lenny Abrahamson']
"['Joel Coen', 'Ethan Coen']"
['Yasujirô Ozu']
['Carl Theodor Dreyer']
['James Mangold']
['Terry George']
['John G. Avildsen']
['Oliver Stone']
"['Brad Bird', 'Jan Pinkava']"
['Tom McCarthy']
['James Mangold']
['James Cameron']
['Rob Reiner']
['Ron Howard']
['Sidney Lumet']
['Richard Linklater']
['Sean Penn']
['Sean Penn']
['William Wyler']
['Harold Ramis']
['William Friedkin']
['Satyajit Ray']
['Brad Bird']
['Ernst Lubitsch']
['Mathieu Kassovitz']
['Gore Verbinski']
['T.J. Gnanavel']
['John Ford']
['Gillo Pontecorvo']
['Lasse Hallström']
['Çagan Irmak']
['Alejandro G. Iñárritu']
['Alfred Hitchcock']
['Stuart Rosenberg']
['Park Chan-wook']
['François Truffaut']
['Robert Wise']
['Frank Capra']
['Ingmar Bergman']
['Terry Jones']
['Brad Bird']
['Tate Taylor']
['Akira Kurosawa']
"['Ron Clements', 'John Musker']"
['Kevin Costner']
['Richard Attenborough']
